
PAYLOAD__CHANNEL_ID,PAYLOAD__CHANNEL_TITLE,PAYLOAD__METRICS__CHANNEL_METRICS__VIEWS,PAYLOAD__METRICS__CHANNEL_METRICS__SUBSCRIBERS
UC4szvfhpar1k7GfHXXT8uzQ,aron jasnowidz,25330775,52900
UCD8jzC25XCxRnMTAJ3y3dxg,Planet X News,24701746,112000
UC9KxzD-vp_mIkYYzYaDd2bQ,Viaje a lo desconocido,24660883,118000
UCKCDoXR2lbTl9tFyq3gwWhA,Endtime,24617008,98100
UC81PBuvIimtXQ8pDH7CcQkg,InfoVojna,24442127,56800
UCtxklEPQWP_dlV1QifedjiA,goop,22688621,176000
UCVWZgv7yXzrC8sawTYWMwWQ,PravoslavieRu,22597645,129000
UCccyh2zRrLami79Ko5S3fxg,ТОК | TALK,22589113,37600
UC4LwOm1guXDzPPGWnq_YlsA,Zach Rector,22280325,73300
UC7rXdy3dOinCLNpPjPkc8Kw,markksargent,21013485,104000
UCH_gB-gkqR_e98YRfic8_uQ,Now You See TV,20670083,231000
UC18-7qYJWAqM9eF1GvMn6Og,Dane Wigington,20670024,195000
UCMnNi_utJSNnJyE67g0WRdQ,MÚSICA e ESPIRITUALIDADE,20621656,282000
UC59Cpk70K2TwdmApJOTuW9g,MEMRI TV Videos,20513934,66100
UC8iU3x5kC8zhSJDmMW_maPQ,Little Light Studios,20307868,192000
UCx9ygIxPfYR05kY92KzvbvA,Boulevard Voltaire,20246122,120000
UCkgPT7LeB_t1aXTYyMiFVAg,Jeremy Corbell,19503005,252000
UCe5hl70Es-VQ4OWvxssFH4A,acTVism Munich,19261200,145000
UCMaLetBcZ8fqsoIryB015og,Gateway Pundit,18793386,99100
UCyJr-rq-H0gI-8aBM7np4bg,seyed mohammad Hosseini,18498733,60100
UCm8-Ft8PdYGiSrB9cY2inDg,Citoyen prévoyant,18464448,183000
UCtUQHzC0QmABOQERfABAhZg,ATP Geopolitics,18423040,35200
UC--mKMTBMxilVT1yGSp2ZUQ,Bro. Sanchez TV,18183289,131000
UCUORv_qpgmg8N5plVqlYjXg,Medical Medium,17934249,320000
UCoG58fOww23Ztr26hXHH4mQ,Tommy Campbell,17911697,78900
UCVmlEoDSeImXV5aPz8EvP0A,COAST TO COAST AM OFFICIAL,17901259,578000
UCoyd1nJFzWFENAxXYoy4TEQ,California Insider Show,17778910,103000
UCcqjjQk7BINIdc5X44aHzaA,The News & Why It Matters with Sara Gonzales,17572627,109000
UCUg-Pp_nXrd1rWlU18am2iw,"Dam Internet, You Scary!",17553669,83400
UCADpu4fv0XEiGjZpTPwFVmQ,UAMN TV,17534748,480000
UCwLLr_Fo9dpdJ9UHq4A7PjA,Révolution Permanente,16780904,60900
UCJr72fY4cTaNZv7WPbvjaSw,Envato,16769003,199000
UCaDk20cxfTQO3OpRYHzjPUQ,THE FRONTLINE TV,16339584,87500
UCnw5I-wliudW8YO1vr5O4IQ,Lotuseaters Dot Com,16222676,135000
UC4FYwBasJ4MTe9iV-Ofykeg,Drew Berquist,16211457,425000
UCIAZtlZSFlnBp_hAlvB6QSw,Dr David Jockers,16020650,187000
UCQU_sVZ6eDtX6L5fUGsgV6g,Michael Salla,15897929,164000
UC1ZJSPHkcgG_g7o1gAP5gxQ,AlienScientist,15742013,115000
UC4tNlDJkV_YdwMErMRutt4A,To Be Frank,15689463,144000
UChzVhAwzGR7hV-4O8ZmBLHg,Glenn Greenwald,15654706,187000
UC1Esh5OiaDMUt-iEHYCbQCg,"Dr. SHIVA Ayyadurai, MIT PhD",15284467,247000
UCXJBRgiZRZvfilIGQ4wN5CQ,Junge Freiheit,15260081,82000
UCuZc4JcCehT74JbD4gkVcxQ,Midnight Broadcast,15229432,49500
UCyUPjC7ynR4SJoLR-f-OtGw,EducateInspireChangeTV,15103389,44600
UCJPzKdSOyHbXcXdIBq8bV7A,Lollafun NEWS,15101824,142000
UCqU_vPg5x9rULpjxunpW-vg,Acid Marxist,14737707,29200
UCTlbjcTWjTLqNmcF3VL7Xag,Jake The Asshole,14708878,70800
UC0uPor-bT_4oYrKciXhIODw,Elusive Truths,14694188,79700
UC2aFQcGgRoVuEWfx2AM0H-A,the Truth is stranger than fiction...,14561567,123000
UC3o7kbpTUQ5-0WTMIp8sVwA,GOP,14465632,81600
UCcNGf_pnwo6u_pbcJv58Bmg,Stu Does America,14294904,81800
UC0gI048KH8MB8PxrMMVPzjg,Panamza,14053612,31100
UCAemtt2ylQPayduR5W9ENHQ,Elena Danaan Official,13906104,144000
UCGxiXhcjKY-gLU4AUwl2Ebw,BREZNER STUDIO,13423426,124000
UCxQdpLijLxJTXUgmM03xT0g,eigentümlich frei,13395792,69200
UCZZgI-HmGsPVw72jMnsNlAg,Alpha News,13309089,86700
UCy72m4sgfJuF9QLeecYJFVQ,Front Page with Scott Goulet,13245694,240000
UC6Bl8MTbW9M9MQoPhxbarpw,Daniel Dumbrill,13126969,167000
UCktRRH_n0eZQ3ZuRr2rEGLw,i TV,12931725,31300
UCqgrelsJF19-0cwCwiKULuA,Epoch Times France,12757092,134000
UCsgWR55UyAiFarZYl1u1l9Q,TomWoodsTV,12587204,76100
UC7iTON-_LCOCJVWt8gvExcA,Świat Rolnika,12550951,73900
UClqXcJew_A3s8qiX-T4a9CA,Congressman Matt Gaetz,12486941,116000
UCG-fzkzsubdFQLvco0w5w_A,- Timaeus -,12469274,54800
UC6xM7GvKd85duq5fw8qKBOQ,Matt Orfalea,12461949,89400
UCm-mdIVSD-zlHZorEwiF0tg,a dude,12328352,22000
UC9KEV4WLZAEw4z0VgPQ5PEg,MENSAGENS que ELEVAM,12325283,122000
UC5IlZVWqpOpKDS_BnJjFj4g,PolskieCentrumKLD,12158912,135000
UCOB14Qpjf7j1BiLKq8GcQEw,dazzathecameraman,12084826,17100
UCtjhXzMNWJxcytxa7kkAH5Q,Learn Chinese Now,11700012,169000
UCrQhMLt2rmsOIV6-_OT7AlQ,Becket Cook,11610709,149000
UC6ynIVNVwj9gF5rpsWUh5-w,Brian Craig,11537059,69100
UCnDsUHdXE9TN1oks3oo1gZg,2031 Truth ChanneL,11402166,58900
UC0hVVwpx_zoLEuKI8bOgFdg,NumbersUSA,11257414,15600
UCP2vMmJ3_01LYPq4jaKxJpw,Jeremiah Films,11217664,35200
UCaxqUc1w073l9VrnaZEbi6Q,Armageddon News,11038560,80000
UCpsmR4kG93tXYxt4mo9deUQ,dieZuversicht,10729472,83500
UCV8KMB7MpOAcbEfxp1bOuCA,Galates,10591658,63300
UC0qRbXeOUYT7J9dgzryXl0A,Macrodosing w/ PFT & Arian Foster,10564123,40300
UCzp8QlVd_hDLfK1LMLDu3dQ,The Heartland Institute,10457973,56500
